Sexo,IdadeEvasao,PeriodoEvasao,baixorendimentonasdisciplinas,cenáriopolíticoeconômicoinstável,desinteressecomcursoescolhido,desinteressecomcursosuperioremgeral,desligamentoporcoeficienteabaixode3doissemestreconsecutivos,desligamentoporprazomáximo,desligamentoporreprovaçõesemtodasdisciplinasdoissemestresconsecutivos,dificuldadenaáreaescolhida,distanciamentodafamília,faixasalarialnãopromissora,fimderelacionamento,incompatibilidadedetempoentretrabalhoeestudo,oportunidadedeingressoemoutrafaculdadecommesmocurso,oportunidadedeingressoemoutrafaculdadeemcursodiferente,oportunidadedeingressonaufopemcursodiferente,oportunidadedeingressonoiceaemcursodiferente,oportunidadedetrabalho,perdasdeentesqueridos,problemadeadaptaçãocomocurso,problemascomaprendizadoemrelaçãoaoconteúdo,problemascomprofessoresespecíficos,problemascomumadisciplinaemespecífico,problemasfamiliares,problemasfinanceiros,problemaspsicológicos,positive_sent_pt,negative_sent_pt,positive_sent_en,negative_sent_en,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,Cluster
0,20.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,-0.6887008443703617,-0.4233846912773475,-0.17400364681953542,-0.1096986031487245,0.6882209113157284,-0.4216009076014237,0.6530847021729995,0.3008405256346013,-0.02231848716678799,0.10893595717982564,-0.3691523392976301,-0.2833971054192735,0.03358943861658622,0.08969286997229196,0
1,25.0,9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-3.0,1.0,-3.0,-0.23538003063852692,0.8461700375675519,-0.38177857647387897,0.8236144693921215,-0.2991561418303495,0.4849789182349985,-0.7289770486351371,0.922042600151688,0.06998071399861977,-0.22566244645044592,0.018718045098827383,0.14058681524671815,-0.3278665431398327,0.4122035831381582,0
1,25.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,-0.9260026129580029,0.7307071513681128,-0.34076530389301085,-0.34318380833938295,0.10413677723234296,0.4489702578292466,-0.6886216045051754,0.5168922524005755,0.06492571831278421,0.07201424136984406,-0.01041830940827819,0.05227896678323052,-0.1630305839294768,0.11972849522954837,0
0,19.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,-3.0,1.0,-3.0,0.5935698901194653,-1.0920348815092196,0.9654577002813329,0.014864732807465756,0.23394249051382557,0.31681444375538537,-0.43417101985280077,0.22159522573779028,-0.30894714642243476,0.30253865024603854,-0.054084060559248935,-0.49178675142148376,0.34157181493161315,0.13300885770744791,1
1,23.0,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.0,-2.0,0.27857005048167155,-0.05475206592690351,-0.2864266630800325,0.30948867117743917,-0.10576316581240898,0.20230415433212529,1.0827411312438955,0.3461568072734551,-0.39998725675136976,-0.45554088223057093,0.31320917378464086,-0.08663121468521227,-0.19042692638470357,-0.5216489295777752,0
1,18.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-2.0,-0.6867289215859339,-0.006786778925465217,0.1881855595201116,-0.26422665046065785,-0.4055603624472858,-0.057076488093907016,0.10023485566567658,-0.002823890049796377,0.5123675086094378,0.08715518709157197,-0.19376506390080758,-0.283105084873771,-0.34010502738307785,-0.2983315522200231,0
1,38.0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.0,-2.0,-0.5598064263911872,0.22304824778488574,0.14271327275302254,-0.013880779720471767,-0.48876468932146994,-0.33449416072645277,0.10517893130637475,-0.22515030786014134,-0.026462629972347464,0.030095825120624895,-0.22173985740108945,-0.1657740747417763,0.021723268917357402,-0.14577463511881053,0
1,24.0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-2.0,1.0,-2.0,0.5743763673704975,-0.6580469764852424,-0.603323082369485,0.017631441370735544,-0.5175225294580359,0.240180911614837,-0.28490838824583975,0.08177645338868193,-0.11436805954278327,0.6076673431187467,-0.10779968659639289,0.34037408435130967,0.2229030884739303,-0.2529929341430621,1
1,23.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,1.0,-3.0,0.5311510013099792,0.004524324423858728,0.21566037263175714,-0.9541805536515556,-0.5161230904072034,-0.39861309355132035,0.1194638402612125,0.1271726600089501,-0.21216463182563278,-0.5412123104457283,0.291852123920363,0.15185838499061416,-0.08367518394873105,0.42283641877973416,1
1,25.0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.0,-2.0,-0.3965843550871535,-0.08901782158780974,-0.4960535783297719,0.4379929856005248,-0.5378032271171517,-0.061249133455896165,0.10407874276633235,0.17621919145071657,0.05477751914639612,-0.07452372639161808,0.19436178257404774,-0.1471005498767778,0.11707647060982793,-0.08824012673251039,0
